71753,83
14293,548
679,351
68356,400
106395,894
64110,74
66046,267
70081,98
12405,692
60210,433
18606,550
61749,731
23913,10
40599,834
39562,189
78613,466
99458,178
63966,657
21035,550
4948,459
101521,178
78915,403
54662,576
61904,574
107398,251
64661,569
27309,171
53550,547
3107,267
43891,465
46976,138
76727,402
60205,433
93635,666
51758,169
34852,455
46874,107
35414,611
70117,119
71522,156
23586,225
65517,277
87803,804
99593,178
93745,666
9242,925
110250,274
29865,658
45448,461
42441,780
60693,258
4956,902
67173,406
47757,39
34320,395
66684,267
61217,237
35972,395
30528,164
65269,277
30925,164
14817,313
84620,696
64616,215
53527,239
26571,732
76101,635
52169,169
38709,458
25577,171
108016,407
63499,657
81344,361
55543,11
97917,542
109065,35
75531,255
31038,82
21312,826
27752,558
43,912
56999,477
1958,457
41402,197
1176,267
83064,661
35129,395
37426,458
10001,162
15102,400
66994,277
4672,439
76526,736
51725,453
26737,907
43138,177
59698,433
53963,708
90209,371
75159,705
68941,841
5397,442
12725,175
46340,126
40885,780
70553,156
56373,70
12236,911
78543,842
83821,688
110310,274
11573,688
46189,461
739,351
98982,3
42248,595
15496,86
16233,229
942,418
87451,445
13073,193
11225,692
100524,630
77350,213
68755,203
13115,400
53470,270
81527,473
81757,361
10437,162
64904,624
100554,17
21837,160
73781,428
76731,402
46992,107
74589,428
97730,3
53956,664
43247,187
53017,270
8401,184
63187,657
15673,454
60089,258
110422,274
91459,114
104862,746
88495,570
28002,905
47909,863
96114,846
94703,272
59521,433
548,246
54889,103
18223,707
31945,123
42092,137
92558,758
68709,522
41550,137
68811,276
107480,667
22763,224
26394,171
54570,91
103438,904
6983,887
38428,613
47182,657
102850,855
105394,234
96353,826
76013,635
59162,30
13076,833
102747,398
54573,91
68190,400
3585,361
102220,7
57589,830
93743,27
89457,88
17186,707
40574,834
55930,340
74213,208
2918,418
18300,322
13337,482
104071,266
77659,366
1300,72
91557,666
8082,761
109752,53
231,652
71822,529
3082,663
19590,550
10655,459
93747,666
74588,140
29024,686
61646,657
65687,566
37069,458
49095,489
69238,669
42682,373
39096,650
8544,120
10913,310
63011,74
54579,91
34741,376
26664,907
44173,77
3708,835
39405,275
25248,166
91111,903
99362,23
18037,609
81966,692
38046,452
101803,17
60320,683
86949,298
106607,444
6638,692
81642,361
92289,38
73594,140
1340,267
8100,717
12010,456
59020,287
117,663
54976,708
88411,284
83104,361
90968,451
52017,462
15545,209
72603,208
109597,653
32539,413
21983,665
50321,615
26558,558
48808,141
49379,248
